# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YDL072C	1300	1737	43	188
YDL070W	2773	1974	165	567
YDL069C	127	114	26	112
YDL067C	3769	4253	186	710
YDL066W	882	1596	68	308
YDL065C	1527	1376	115	351
YDL064W	306	466	180	646
YDL063C	52	102	672	2437
YDL061C	858	1719	1279	5185
YDL060W	189	271	809	2542
YDL059C	17	21	12	58
YDL058W	253	303	56	193
YDL057W	368	307	20	47
YDL056W	364	530	94	347
YDL055C	3429	10528	920	3160
YNCD0003W	0	0	1	5
YDL054C	428	304	88	216
YDL053C	714	686	191	735
YDL052C	104	198	77	315
YDL051W	813	1052	806	3007
YDL049C	267	168	12	22
YDL048C	1062	1265	611	1378
YDL047W	1401	1512	281	1124
YDL046W	5274	3321	233	915
YDL045W-A	220	277	49	231
YDL045C	302	443	43	132
YDL044C	59	132	33	129
YDL043C	210	187	40	126
YDL042C	271	214	59	130
YDL040C	386	833	132	480
YDL039C	37	65	251	745
YDL037C	28	45	109	208
YDL036C	134	202	95	202
YDL035C	536	444	213	548
YDL033C	68	124	44	153
YDL031W	327	396	634	1881
YDL030W	109	140	67	233
YDL029W	1307	2286	44	272
YDL028C	189	272	66	227
YDL027C	1593	1159	26	85
YDL025C	1444	1040	199	561
YDL024C	108	57	11	23
YDL022C-A	8	4	1	1
YNCD0004W	0	0	0	0
YDL022W	7988	7580	13691	54763
YDL021W	2069	2836	32	154
YDL020C	2871	2561	247	707
YDL019C	1330	1623	109	406
YDL018C	25	165	1	17
YDL017W	100	235	48	213
YDL015C	1455	1952	522	1934
YDL014W	295	778	2661	8614
YDL013W	366	302	205	526
YDL012C	71	295	30	138
YDL010W	294	174	17	85
YDL009C	46	54	7	7
YDL008W	112	314	30	94
YNCD0005C	0	0	0	3
YDL007C-A	1	3	0	1
YNCD0006W	0	0	0	0
YDL007W	3122	3325	203	891
YDL006W	197	185	60	256
YDL005C	1392	1206	94	325
YDL004W	4540	5186	84	420
YDL003W	22	380	3	36
YDL002C	255	416	99	406
YDL001W	210	281	85	268
YDR001C	3434	2625	547	1519
YDR002W	531	1609	1679	6233
YDR003W	720	942	67	280
YDR003W-A	122	198	9	58
YDR004W	234	276	44	272
YDR005C	838	703	99	302
YDR006C	1470	1291	401	1427
YDR007W	483	372	110	314
YDR009W	212	412	8	27
YDR010C	4	20	0	3
YDR011W	1877	1357	142	259
YDR012W	782	1964	852	3193
YDR013W	26	106	33	152
YDR014W	142	178	17	46
YDR014W-A	12	19	0	6
YDR016C	28	63	9	28
YDR017C	314	454	161	554
YDR018C	723	382	13	33
YDR019C	357	873	100	205
YDR020C	46	75	78	262
YDR021W	39	74	195	661
YDR022C	717	515	45	171
YNCD0007C	0	1	0	2
YDR023W	2066	3379	1189	3902
YDR025W	1480	3005	2523	9750
YDR026C	255	358	178	549
YDR027C	397	526	50	205
YDR028C	1956	1713	214	745
YDR029W	166	146	11	36
YDR030C	535	377	39	152
YDR031W	217	527	10	72
YDR032C	3053	3517	40	237
YNCD0033W	15	7	15	42
YNCD0034C	0	0	0	0
YDR033W	505	1320	721	2189
YDR034C	467	477	177	566
YDR034C-D	13	8	11	22
YDR034C-C	0	0	0	0
YNCD0008W	0	1	0	0
YDR034C-A	12	5	0	0
YNCD0009W	0	0	0	0
YDR034W-B	329	120	10	28
YDR035W	1232	1490	725	2188
YDR036C	357	955	63	270
YDR037W	293	581	3157	10344
YDR038C	235	38	36	131
YDR039C	0	0	0	0
YDR040C	916	102	48	176
YDR041W	681	973	58	230
YDR042C	1	6	6	20
YNCD0010C	3	3	2	4
YDR043C	722	252	206	518
YDR044W	123	352	14	79
YDR045C	28	64	86	292
YDR046C	1802	1292	340	1636
YDR047W	361	1255	132	601
YDR049W	147	277	212	688
YDR050C	37564	44615	3996	14991
YDR051C	708	633	142	557
YDR052C	227	423	149	519
YDR054C	1515	1251	400	1072
YDR055W	2879	3412	68	306
YDR056C	860	1028	59	247
YDR057W	420	336	46	152
YDR058C	176	272	81	266
YNCD0011W	0	0	0	0
YNCD0012W	0	0	0	0
YDR059C	1729	969	119	254
YDR060W	230	477	911	2799
YDR061W	132	217	56	212
YDR062W	568	823	355	1403
YDR063W	546	825	23	161
YDR064W	1367	3544	4127	17526
YDR065W	107	171	72	227
YDR066C	118	149	19	100
YDR067C	390	522	67	267
YDR068W	1056	997	67	275
YDR069C	705	698	68	251
YDR070C	8468	1342	81	43
YDR071C	1110	2062	125	753
YDR072C	300	297	608	1347
YDR073W	186	144	55	202
YDR074W	5561	3949	209	560
YDR075W	41	58	92	303
YDR076W	99	107	6	37
YDR077W	61934	42285	5698	15866
YDR078C	45	96	19	74
YDR079W	223	357	58	155
YDR079C-A	184	153	19	66
YDR080W	472	568	49	160
YDR081C	239	404	157	429
YDR082W	300	338	60	221
YDR083W	138	197	527	1481
YDR084C	121	274	15	103
YDR085C	896	651	28	60
YDR086C	627	1081	237	1085
YDR087C	62	242	503	1783
YDR088C	645	763	102	312
YNCD0013C	0	0	0	0
YDR089W	201	308	60	148
YDR090C	526	428	87	264
YDR091C	426	548	1127	3159
YDR092W	546	772	147	421
YDR093W	252	537	148	415
YDR096W	2028	1683	93	226
YDR097C	217	606	14	44
YDR098C	394	835	176	655
YNCD0014C	0	0	0	0
YDR098C-B	0	0	1	2
YDR098C-A	0	0	0	0
YDR099W	5420	4158	151	704
YDR100W	196	414	5	56
YDR101C	134	260	963	2913
YDR102C	13	13	9	18
YDR103W	36	51	50	168
YDR104C	197	202	28	117
YDR105C	561	534	58	242
YDR106W	84	41	4	10
YNCD0015C	1	0	0	0
YDR107C	94	93	2	20
YDR108W	54	96	44	121
YDR109C	306	230	83	241
YDR110W	60	85	153	485
YDR111C	977	141	233	584
YDR113C	52	271	19	56
YDR114C	1	7	0	0
YDR115W	178	516	35	129
YDR116C	196	658	52	223
YDR117C	108	185	68	236
YDR118W	58	102	10	68
YDR119W	93	114	167	747
YDR119W-A	7501	2727	124	186
YDR120C	257	354	381	1069
YDR121W	146	196	73	259
YDR122W	707	682	27	118
YDR123C	921	1025	34	118
YDR124W	116	252	10	62
YDR125C	204	318	14	48
YDR126W	113	79	43	147
YDR127W	811	1661	37	200
YDR128W	505	426	44	164
YDR129C	7146	8921	226	684
YDR130C	166	226	52	140
YDR131C	205	158	27	78
YDR132C	152	127	42	94
YDR134C	17408	30643	3106	9869
YDR135C	820	922	104	434
YDR137W	217	361	50	192
YDR138W	93	186	51	253
YDR139C	401	511	71	218
YDR140W	239	294	48	133
YDR141C	542	676	49	187
YDR142C	355	256	51	195
YDR143C	196	237	140	555
YDR144C	16	47	61	299
YDR145W	1016	881	154	557
YDR146C	129	218	4	37
YDR147W	125	105	37	161
YDR148C	7660	7161	148	409
YDR150W	3468	2608	78	240
YDR151C	1021	1476	110	313
YDR152W	816	1013	376	1400
YDR153C	780	904	215	658
YDR155C	26689	23963	452	1935
YDR156W	190	233	253	1118
YDR157W	17	22	16	74
YDR158W	658	1481	516	1294
YDR159W	297	373	107	291
YDR160W	441	393	114	326
YDR161W	366	444	466	1691
YDR162C	507	394	42	188
YDR163W	536	388	63	195
YDR164C	543	673	89	256
YDR165W	57	174	386	1284
YDR166C	545	626	84	275
YDR167W	314	484	109	403
YDR168W	3233	2997	135	468
YDR169C	1072	914	56	168
YDR169C-A	8	11	1	2
YDR170C	1054	1614	100	421
YNCD0016C	0	0	0	0
YDR170W-A	7	13	5	16
YDR171W	20801	36534	272	1283
YDR172W	1433	2048	934	2777
YDR173C	799	279	56	134
YDR174W	1255	1633	278	885
YDR175C	265	869	66	242
YDR176W	485	669	78	369
YDR177W	1010	1037	93	464
YDR178W	3942	3462	90	278
YDR179C	437	254	34	133
YDR179W-A	59	61	37	174
YDR180W	33	114	30	112
YDR181C	406	556	27	130
YDR182W	377	475	64	239
YDR182W-A	3	16	0	6
YDR183W	86	171	15	91
YDR184C	166	170	292	913
YDR185C	82	96	52	153
YDR186C	2060	1443	634	1608
YDR188W	1037	1660	715	2624
YDR189W	335	506	122	480
YDR190C	830	1170	406	1301
YDR191W	9	21	15	71
YDR192C	135	119	96	284
YDR194C	200	217	298	968
YDR194W-A	0	0	1	0
YDR195W	173	203	84	354
YDR196C	846	935	50	224
YDR197W	149	259	38	189
YDR198C	164	241	71	227
YDR200C	537	409	50	160
YDR201W	158	165	9	46
YDR202C	997	1057	40	144
YDR204W	1622	1289	27	93
YDR205W	273	220	56	230
YDR206W	936	583	324	1135
YDR207C	155	197	152	387
YDR208W	841	1094	230	717
YDR209C	73	183	26	139
YDR210W	0	0	0	0
YDR210W-A	0	0	0	0
YDR210W-B	0	2	0	2
YDR210C-D	0	0	0	0
YDR210C-C	0	0	0	0
YNCD0017W	0	0	0	0
YDR211W	318	454	497	1543
YDR212W	835	1443	311	1164
YDR213W	94	193	42	120
YDR214W	3209	3272	92	285
YDR215C	5	25	0	4
YDR216W	6448	6970	97	279
YDR217C	224	291	32	82
YDR218C	40	11	5	15
YDR219C	406	389	77	221
YDR221W	296	527	36	142
YDR222W	160	160	487	2357
YDR223W	308	117	46	147
YDR224C	2648	12651	316	3715
YDR225W	3539	10070	134	1443
YDR226W	1639	3874	821	3226
YDR227W	310	330	87	250
YDR228C	88	94	83	349
YDR229W	328	537	25	109
YDR231C	677	781	48	213
YDR232W	756	997	951	3207
YDR233C	3698	4041	816	3172
YDR234W	154	205	361	1280
YDR235W	161	156	85	262
YDR236C	216	280	33	153
YDR237W	50	514	47	179
YDR238C	1505	2230	221	752
YDR239C	361	351	67	159
YDR240C	67	50	76	234
YNCD0018W	1	1	1	4
YDR242W	262	338	51	200
YDR243C	169	155	73	163
YDR244W	599	499	98	370
YDR245W	322	476	308	1126
YDR246W	872	816	36	134
YDR246W-A	29	16	1	3
YDR247W	500	643	17	72
YDR248C	134	147	40	160
YDR249C	36	42	80	241
YDR251W	1149	1350	36	165
YDR252W	55	51	4	19
YDR253C	75	67	24	89
YDR254W	391	279	12	53
YDR255C	1483	931	17	61
YDR256C	24981	5347	242	160
YDR257C	131	235	111	350
YDR258C	12425	35868	117	943
YDR259C	274	321	8	42
YDR260C	102	126	42	122
YDR261C	48	100	16	127
YNCD0019C	0	0	0	0
YDR261W-A	0	0	0	0
YDR261W-B	0	1	0	0
YDR261C-D	0	0	0	0
YDR261C-C	0	0	0	0
YNCD0020W	0	0	0	3
YDR262W	3607	1434	158	385
YDR263C	75	114	3	42
YDR264C	404	597	108	379
YDR265W	222	398	20	111
YDR266C	182	268	340	1315
YDR267C	182	316	70	264
YDR268W	18	186	15	61
YDR270W	309	583	155	452
YDR272W	3150	2426	171	539
YDR273W	270	118	11	58
YDR274C	330	167	11	20
YDR275W	1807	1827	56	195
YDR276C	4845	5122	95	438
YDR277C	395	328	27	57
YNCD0021C	0	1	0	0
YDR279W	177	300	22	60
YDR280W	66	167	244	740
YDR281C	1	5	1	3
YDR282C	293	501	13	57
YDR283C	465	507	50	229
YDR284C	113	319	22	146
YDR285W	69	112	25	123
YDR286C	67	108	13	55
YDR287W	1042	818	38	143
YDR288W	440	320	112	381
YDR289C	830	818	59	233
YDR291W	292	273	81	253
YDR292C	372	817	112	465
YDR293C	5575	2498	189	528
YDR294C	1600	1743	73	263
YDR295C	161	302	33	121
YDR296W	308	739	47	207
YDR297W	355	697	201	633
YDR298C	3649	6547	148	868
YDR299W	169	226	611	2116
YDR300C	142	355	191	650
YDR301W	290	331	66	270
YDR302W	50	73	48	220
YDR303C	87	203	67	250
YDR304C	668	1492	100	489
YDR305C	173	249	12	112
YDR306C	1197	847	58	204
YNCD0022C	0	1	0	1
YDR307W	94	129	18	94
YDR308C	74	125	30	145
YDR309C	60	501	23	175
YDR310C	399	409	144	610
YDR311W	281	292	114	418
YDR312W	121	248	220	762
YDR313C	929	1160	65	190
YDR314C	411	459	10	55
YDR315C	199	197	8	56
YDR316W	300	439	25	118
YNCD0023C	0	0	0	1
YDR316W-A	0	0	0	0
YDR316W-B	0	0	0	0
YDR317W	85	39	12	54
YDR318W	64	117	11	58
YDR319C	504	411	31	96
YDR320C	654	1017	45	242
YDR320C-A	549	542	29	124
YDR321W	37	78	297	1015
YDR322W	266	794	59	250
YDR322C-A	1191	2217	204	738
YDR323C	93	119	33	170
YDR324C	110	200	535	1724
YDR325W	44	69	85	311
YDR326C	120	219	160	531
YDR328C	3261	2627	215	671
YDR329C	1965	1412	86	352
YDR330W	1448	988	57	250
YDR331W	132	198	88	229
YDR332W	201	236	65	265
YDR333C	204	403	245	802
YDR334W	459	604	120	396
YDR335W	1790	1678	108	351
YDR336W	163	179	33	133
YDR337W	118	576	40	233
YDR338C	405	384	81	221
YDR339C	352	577	537	1792
YNCD0024C	1	0	0	0
YDR341C	243	920	544	1864
YDR342C	5900	7971	62	196
YDR343C	2880	3500	32	110
YDR344C	4	7	3	9
YDR345C	2270	2429	4195	8365
YDR346C	366	587	276	950
YDR347W	170	788	87	386
YDR348C	143	477	95	361
YDR349C	853	709	214	658
YNCD0025W	0	0	0	0
YDR350C	367	391	128	401
YDR351W	439	285	171	560
YDR352W	240	254	68	233
YDR353W	379	1061	179	576
YDR354W	46	48	27	127
YDR356W	215	424	15	49
YDR357C	518	321	20	55
YDR358W	1363	1520	25	52
YDR359C	285	320	37	167
YDR361C	212	300	376	1474
YDR362C	300	492	114	393
YDR363W	465	511	97	203
YNCD0026W	0	0	0	0
YDR363W-A	994	1256	73	323
YDR364C	266	205	158	469
YDR365C	232	438	634	2097
YDR365W-A	0	0	0	0
YDR365W-B	0	0	0	0
YDR366C	11	8	7	28
YDR367W	174	249	123	430
YDR368W	982	1166	296	1245
YDR369C	103	98	17	48
YDR370C	58	61	97	350
YDR371W	46	38	10	70
YDR372C	631	715	213	916
YDR373W	470	652	97	410
YDR374C	0	11	1	3
YDR374W-A	191	231	15	40
YDR375C	73	306	41	125
YDR376W	120	404	7	81
YDR377W	2175	4497	123	600
YDR378C	148	254	56	240
YDR379W	245	385	67	309
YDR379C-A	1293	828	12	28
YDR380W	486	1840	11	56
YDR381W	821	1539	230	791
YDR381C-A	243	318	34	155
YDR382W	884	3024	2761	11825
YDR383C	38	77	35	160
YDR384C	796	166	193	640
YDR385W	1762	1958	523	1715
YDR386W	124	176	21	72
YDR387C	193	297	44	187
YDR388W	2324	2975	167	768
YDR389W	222	182	66	219
YDR390C	560	683	125	352
YNCD0027C	0	0	0	0
YDR391C	398	519	32	191
YDR392W	88	149	54	255
YDR393W	210	249	38	153
YDR394W	3122	3564	137	692
YDR395W	281	672	439	1387
YDR397C	402	648	176	529
YDR398W	81	261	823	2776
YDR399W	241	619	1889	5420
YDR400W	64	234	68	250
YDR402C	16	6	3	15
YDR403W	70	65	7	27
YDR404C	145	201	105	415
YDR405W	569	673	136	490
YDR406W	926	715	141	176
YDR407C	61	144	27	165
YDR408C	400	504	208	659
YDR409W	452	356	86	299
YDR410C	19	11	40	114
YDR411C	868	827	43	163
YDR412W	144	252	400	1298
YDR414C	21	32	38	242
YDR415C	120	159	99	281
YDR416W	159	291	112	369
YDR418W	703	2277	2400	9542
YDR419W	267	213	128	415
YNCD0028W	0	0	0	0
YDR420W	413	265	111	355
YDR421W	248	328	39	151
YDR422C	320	312	96	363
YDR423C	686	1206	60	159
YDR424C	525	564	25	89
YDR425W	663	488	26	110
YDR427W	1428	2125	116	614
YDR428C	113	230	75	231
YDR429C	1152	2039	817	2649
YDR430C	161	345	61	216
YDR432W	4839	6731	1054	2182
YDR434W	428	452	69	314
YDR435C	975	735	23	84
YDR436W	1235	893	37	137
YDR437W	17	22	6	25
YDR438W	90	121	26	96
YDR439W	149	175	45	158
YDR440W	41	146	11	34
YDR441C	114	268	22	79
YDR443C	400	409	37	120
YDR444W	205	444	36	144
YNCD0029C	0	0	0	0
YDR446W	2	2	3	10
YDR447C	548	2123	1805	7364
YDR448W	91	275	106	344
YDR449C	58	95	485	2014
YDR450W	979	2052	2462	9838
YDR451C	22	26	6	60
YDR452W	2299	2182	148	637
YDR453C	148	185	15	44
YDR454C	647	975	353	1207
YDR456W	860	838	65	343
YDR457W	1149	1102	69	291
YDR458C	619	712	134	424
YDR459C	121	130	107	374
YDR460W	601	466	68	332
YDR461W	40	17	3	5
YDR461C-A	962	453	14	55
YDR462W	437	746	36	137
YDR463W	2024	1450	394	1341
YDR464W	718	524	251	761
YDR465C	187	405	559	1836
YDR466W	630	616	107	347
YDR468C	446	581	81	336
YDR469W	197	256	69	186
YDR470C	409	567	55	190
YDR471W	572	1589	1917	7657
YNCD0030W	4	10	1	5
YDR472W	104	191	127	483
YDR473C	874	629	85	287
YDR475C	1072	1800	102	349
YDR476C	1359	1158	135	461
YDR477W	1092	1250	134	441
YDR478W	164	304	65	225
YDR479C	539	562	53	198
YDR480W	173	357	12	83
YDR481C	1211	1029	101	375
YDR482C	243	198	70	253
YDR483W	3725	3135	773	2376
YDR484W	237	299	37	170
YDR485C	1272	960	145	387
YDR486C	1214	1100	117	379
YDR487C	136	786	91	442
YDR488C	4	29	5	8
YDR489W	42	86	54	202
YDR490C	715	455	30	181
YDR492W	1660	1084	176	705
YDR493W	35	99	28	112
YDR494W	751	1552	95	412
YDR495C	527	360	47	169
YDR496C	126	261	846	2483
YDR497C	16192	11457	250	590
YDR498C	575	603	37	204
YDR499W	159	149	35	124
YDR500C	643	1775	1486	5844
YDR501W	59	86	2	15
YDR502C	505	3173	591	1240
YDR503C	19	54	5	27
YDR504C	47	20	10	23
YDR505C	2133	1228	82	182
YDR506C	133	108	9	26
YNCD0031C	0	0	0	0
YDR507C	123	473	10	117
YDR508C	794	548	2091	8982
YDR510W	792	1160	197	993
YDR511W	214	522	27	123
YDR512C	512	396	13	83
YDR513W	1845	2387	62	351
YDR514C	77	122	92	322
YDR515W	193	168	37	103
YDR516C	3167	3383	63	178
YDR517W	699	1116	34	136
YDR518W	120	235	19	79
YDR519W	308	500	20	131
YDR520C	226	166	60	168
YDR522C	52	16	5	13
YDR523C	22	7	8	43
YDR524C	372	157	176	521
YDR524W-C	802	2716	632	2498
YDR524C-B	2936	9209	1777	6499
YDR525W	1	1	1	8
YDR525W-A	781	468	28	83
YDR527W	309	379	384	1272
YNCD0032C	51	58	15	90
YDR528W	9	8	112	319
YDR529C	6798	8277	189	900
YDR530C	892	972	35	173
YDR531W	116	231	62	415
YDR532C	328	397	44	182
YDR533C	2332	2270	182	600
YDR534C	27	71	42	223
YDR536W	147	135	6113	24196
YDR538W	211	150	34	95
YDR539W	225	503	47	216
YDR540C	146	124	8	32
YDR541C	40	67	38	208
YDR542W	3	3	0	0
YDR545W	0	0	0	0
YEL077C	75	85	7	21
YEL076C-A	0	0	0	1
YEL076C	2	2	0	0
YEL075C	0	0	0	0
YEL073C	641	502	18	46
YEL072W	70	37	36	113
YEL071W	1468	649	256	1311
YEL070W	57	42	1	1
YEL069C	20	17	2	5
YEL068C	180	163	2	23
YEL067C	82	67	2	3
YEL066W	243	638	3	17
YEL065W	2366	2156	70	104
YEL064C	94	131	3	32
YEL063C	600	1328	343	1176
YEL062W	151	168	43	124
YEL061C	116	209	15	92
YEL060C	30363	15081	393	691
YEL059C-A	105	92	2	13
YEL059W	23	24	2	6
YEL058W	317	459	42	185
YEL057C	63	33	7	22
YEL056W	244	419	29	186
YEL055C	236	450	277	881
YNCE0001C	1	0	1	6
YEL054C	907	2540	2216	8748
YEL053C	74	116	128	505
YEL052W	387	886	64	313
YEL051W	974	1716	390	1576
YEL050C	149	376	92	372
YNCE0002W	2	5	0	1
YNCE0003W	2	0	0	3
YNCE0004C	1	2	0	1
YEL049W	72	26	0	11
YEL048C	30	57	49	183
YEL047C	155	453	55	192
YEL046C	698	1207	696	2220
YEL044W	707	783	112	460
YEL043W	791	728	219	641
YEL042W	424	965	297	1009
YEL041W	197	189	9	32
YEL040W	157	499	72	729
YEL039C	807	395	32	102
YEL038W	332	262	52	202
YEL037C	1744	1752	455	1583
YEL036C	216	165	566	1981
YEL035C	114	42	1	5
YEL034W	10931	11860	3443	16122
YEL033W	1617	2121	402	2082
YNCE0005W	1	0	0	0
YEL032W	246	522	202	538
YEL031W	415	727	150	603
YEL030W	258	197	17	56
YEL029C	51	99	141	458
YEL028W	52	30	11	45
YNCE0006W	0	0	0	2
YEL027W	2507	3177	1132	4758
YEL026W	125	202	1199	4839
YEL025C	142	203	9	48
YEL024W	5063	6366	178	643
YEL023C	122	123	38	94
YEL022W	120	219	93	390
YEL021W	200	541	573	1719
YEL020W-A	112	437	132	600
YNCE0007C	44	111	6	18
YEL020C	185	526	58	323
YEL019C	67	140	48	177
YEL018W	43	105	91	312
YEL017C-A	296	619	275	1068
YEL017W	286	408	44	232
YEL016C	112	124	85	300
YEL015W	798	1039	234	788
YEL014C	18	28	12	50
YEL013W	609	613	59	333
YNCE0008C	3	1	0	1
YEL012W	6340	2766	83	164
YEL011W	10811	9548	110	271
YNCE0009C	0	0	0	0
YEL009C-A	14	8	0	3
YNCE0010W	0	0	0	0
YEL009C	15769	18774	2104	8031
YEL008W	38	11	2	10
YEL007W	427	595	69	229
YEL006W	746	601	133	365
YEL005C	1123	608	30	103
YEL004W	88	106	26	118
YEL003W	48	151	76	383
YEL002C	1295	1764	129	549
YEL001C	129	324	107	465
YER001W	190	449	19	38
YER002W	2433	901	639	2157
YER003C	359	2263	39	194
YER004W	2918	2392	58	267
YER005W	217	260	167	486
YER006W	891	1030	978	3274
YER007W	182	205	57	214
YER007C-A	450	733	258	842
YNCE0011C	21	12	1	9
YER008C	432	563	86	307
YER009W	886	1732	346	1315
YER010C	1595	948	75	274
YER011W	6	9	2	3
YNCE0012W	3	1	0	2
YER012W	1335	1971	80	416
YER013W	335	473	96	355
YER014W	253	301	19	78
YER014C-A	0	0	0	0
YER015W	6186	3033	80	102
YER016W	30	119	23	98
YER017C	793	847	204	782
YER018C	218	449	22	131
YER019W	155	172	47	231
YER019C-A	1295	1423	234	856
YER020W	5605	4383	182	520
YER021W	5002	5059	140	683
YER022W	226	349	70	216
YER023W	1596	2928	91	488
YER024W	10756	3047	120	180
YER025W	1572	1641	603	1870
YNCE0013W	1	6	2	4
YER026C	3647	7037	79	404
YER027C	366	617	72	337
YER028C	103	87	130	517
YER029C	469	421	153	551
YER030W	1516	1433	94	341
YER031C	459	719	168	731
YER032W	86	139	22	75
YER033C	447	459	39	122
YER034W	29	60	55	245
YER035W	2822	1934	263	933
YER036C	1708	2585	2487	7698
YER037W	775	1076	64	294
YER038C	215	200	58	184
YER038W-A	14	3	0	3
YER039C	338	172	14	50
YER039C-A	208	111	14	43
YER040W	135	215	65	212
YER041W	170	138	66	190
YER042W	339	297	31	106
YER043C	1968	9269	1073	3510
YER044C	1006	1391	26	135
YER044C-A	9	8	4	12
YER045C	249	223	79	276
YER046W	225	191	13	38
YER047C	436	366	104	241
YER048C	1056	1362	87	371
YNCE0014W	1	1	0	0
YER048W-A	335	462	80	283
YER049W	78	169	884	2947
YER050C	427	839	71	288
YER051W	414	374	75	229
YER052C	64	419	274	830
YER053C	1335	1374	26	97
YER053C-A	4631	3330	134	913
YER054C	876	258	21	61
YER055C	341	107	747	2406
YER056C	640	762	2900	7876
YER056C-A	431	1322	1264	5500
YER057C	1417	1614	192	718
YER058W	172	64	6	22
YER059W	308	376	39	154
YER060W	120	81	26	69
YER060W-A	119	95	120	258
YER061C	489	492	69	134
YER062C	174	301	10136	40137
YER063W	808	1323	340	1534
YER064C	299	394	209	555
YER065C	3497	19030	67	497
YNCE0015C	5	5	1	4
YER066W	125	167	14	35
YER067W	4703	18011	47	421
YER068W	624	537	154	488
YER069W	273	648	189	569
YER070W	25	260	5	70
YER071C	191	219	49	164
YER072W	818	1281	265	1041
YER073W	20	63	737	1296
YER074W	1087	2439	2225	9316
YER074W-A	595	550	119	451
YER075C	113	90	231	735
YNCE0016C	0	0	1	2
YER076C	73	105	16	53
YER077C	101	112	84	219
YER078C	131	325	20	98
YER078W-A	4	5	0	6
YER079W	2777	3549	98	323
YER080W	2113	2473	100	352
YNCE0017W	1078	826	16	43
YER081W	973	283	1277	1631
YER082C	312	353	473	1438
YER083C	525	341	126	327
YER084W	1237	121	13	8
YER085C	9	2	0	5
YER086W	291	383	620	1726
YER087W	166	441	7	67
YER087C-B	230	613	118	451
YER088C	1399	2024	302	841
YER089C	176	345	48	277
YER090W	407	1029	157	717
YER091C	1238	2070	1132	1791
YER092W	450	354	95	299
YER093C	296	288	64	220
YER093C-A	87	191	17	54
YER094C	1583	1763	63	415
YER095W	1274	2173	236	717
YER096W	778	336	79	190
YNCE0018W	0	0	0	0
YER098W	441	492	46	182
YER099C	925	692	212	896
YER100W	656	683	201	855
YER101C	1169	701	70	219
YER102W	525	1527	1219	4798
YER103W	1679	29716	102	1166
YER104W	178	164	15	37
YER105C	837	1062	132	464
YER106W	3	5	1	6
YER107C	85	162	80	363
YER109C	46	83	44	131
YER110C	318	453	692	2097
YER111C	56	144	4	23
YER112W	861	578	89	391
YER113C	50	82	119	485
YER114C	555	426	285	938
YER115C	349	183	40	169
YER116C	766	366	88	310
YER117W	1369	2901	2153	9449
YER118C	75	154	73	286
YER119C	801	541	43	125
YER120W	943	1735	363	1637
YER121W	811	374	8	17
YER122C	951	1392	538	2143
YER123W	218	304	175	470
YER124C	626	870	49	147
YER125W	1500	1446	266	823
YER126C	337	458	1063	3579
YER127W	30	47	453	1677
YER128W	106	124	46	269
YER129W	721	281	203	773
YER130C	155	191	226	746
YER131W	309	1856	1997	7916
YNCE0019W	108	232	17	74
YER132C	96	133	139	447
YNCE0020C	2	1	0	1
YER133W	4221	3823	540	1826
YNCE0021C	0	0	0	1
YNCE0022C	1	1	0	0
YER134C	220	472	49	172
YER135C	24	17	4	9
YNCE0023W	0	0	0	0
YER136W	1727	1545	86	505
YER137C	65	72	77	223
YNCE0024W	48	76	12	69
YNCE0025C	0	0	0	0
YER138C	0	0	0	0
YER137C-A	0	0	0	0
YER138W-A	0	0	0	0
YER139C	234	280	15	91
YER140W	130	146	70	228
YER141W	1941	2183	159	611
YER142C	1203	858	23	63
YER143W	1175	1808	20	102
YER144C	1076	494	67	275
YER145C	522	572	1839	3644
YER145C-A	3	9	11	38
YER146W	7	12	13	28
YER147C	220	260	56	236
YER148W	707	763	604	1939
YER149C	42	74	54	205
YER150W	9752	17486	241	1163
YNCE0026W	3	0	2	0
YER151C	390	740	297	799
YER152C	395	627	18	58
YER153C	73	46	2	7
YER154W	197	490	89	308
YER155C	656	887	80	307
YER156C	173	300	349	1371
YER157W	94	327	36	217
YNCE0027C	0	0	0	0
YER158C	536	1585	54	166
YER159C	1392	1286	215	657
YNCE0028C	0	0	1	0
YER160C	0	0	0	0
YER159C-A	0	0	0	0
YER161C	788	910	119	385
YER162C	1350	919	61	188
YER163C	172	589	54	210
YER164W	505	648	214	561
YER165W	5740	5781	1458	4743
YER166W	616	767	100	329
YER167W	423	317	140	451
YER168C	222	305	220	708
YER169W	974	362	670	1981
YER170W	67	315	4	29
YER171W	195	192	149	652
YER172C	734	749	170	523
YER173W	281	189	38	157
YER174C	226	191	43	156
YER175C	543	672	41	174
YER175W-A	3	7	6	8
YER176W	269	468	137	462
YER177W	2721	5143	289	1183
YER178W	8093	6615	182	884
YER179W	84	66	3	6
YER180C	130	81	51	196
YER180C-A	72	56	14	52
YNCE0029C	0	0	0	0
YER181C	14	8	0	1
YER182W	787	817	53	158
YER183C	153	222	81	274
YER184C	267	193	21	56
YER185W	22	26	3	19
YER186C	33	68	9	34
YER187W	6	11	3	7
YER188W	74	35	4	6
YER188C-A	1	1	0	1
