# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YBL010C	37	146	19	85
YBL009W	90	285	36	131
YBL008W-A	1	2	1	0
YBL008W	50	70	31	127
YBL007C	1882	1926	114	436
YBL006C	421	605	91	334
YBL005W	183	190	49	178
YBL005W-A	0	0	0	0
YBL005W-B	8	5	1	3
YNCB0006W	0	0	0	0
YBL004W	282	326	459	1468
YBL003C	106	3142	18	1797
YBL002W	76	2028	68	2154
YBL001C	2090	1754	49	159
YBR001C	559	448	63	242
YBR002C	92	100	146	669
YBR003W	74	197	20	87
YBR004C	1129	639	103	328
YBR005W	1196	920	75	284
YBR006W	829	818	22	83
YBR007C	67	116	54	180
YBR008C	250	285	63	185
YBR009C	416	4404	128	2532
YBR010W	831	5738	778	4769
YBR011C	3326	6556	780	3331
YBR012W-A	0	0	0	0
YBR012W-B	7	3	1	3
YBR013C	25	18	23	57
YNCB0007W	0	0	0	0
YBR014C	349	490	161	557
YBR015C	586	936	248	794
YBR016W	1775	1473	88	345
YBR017C	460	636	321	1094
YBR018C	24	16	1	8
YBR019C	5	4	0	5
YNCB0008W	18	13	8	21
YBR020W	0	0	0	0
YBR021W	132	81	489	1717
YBR022W	98	149	41	133
YBR023C	180	198	171	507
YBR024W	281	518	29	82
YBR025C	6116	6691	1566	5681
YBR026C	12436	7803	174	386
YBR027C	64	23	9	12
YBR028C	33	60	159	475
YBR029C	1170	1407	204	672
YBR030W	147	229	120	401
YBR031W	916	2540	1031	3748
YBR032W	7	7	2	23
YBR033W	122	257	24	188
YBR034C	135	137	706	1685
YBR035C	1672	1995	146	537
YNCB0009C	1	2	2	3
YNCB0010W	835	1407	56	196
YBR036C	3621	3218	232	792
YBR037C	66	272	17	72
YBR038W	398	605	9	64
YBR039W	7827	9483	189	760
YBR040W	0	1	0	1
YBR041W	147	194	57	241
YBR042C	23	55	31	133
YBR043C	892	518	116	408
YBR044C	215	243	37	134
YNCB0011C	0	1	0	0
YBR045C	522	244	14	48
YBR046C	3710	3641	73	318
YBR047W	418	808	25	116
YBR048W	1181	2242	1891	7482
YBR049C	440	702	79	267
YBR050C	4878	2749	58	105
YBR052C	507	1190	11	109
YBR053C	2583	2799	34	131
YBR054W	11363	5479	794	2887
YBR055C	111	177	131	379
YNCB0012W	0	0	1	0
YBR056W	3721	3218	50	162
YNCB0013W	0	0	0	0
YBR056W-A	1347	796	25	96
YBR057C	789	652	137	388
YBR058C	1341	1058	120	426
YBR058C-A	570	702	112	361
YBR059C	2134	1680	54	214
YBR060C	136	271	96	335
YBR061C	123	161	296	923
YBR062C	901	950	60	225
YBR063C	122	109	166	686
YBR065C	186	125	136	402
YBR066C	138	389	28	108
YBR067C	32216	12330	419	687
YBR068C	6451	2300	1717	3643
YBR069C	8	4	5	11
YNCB0014W	13	6	16	27
YBR070C	121	377	3	20
YBR071W	1053	1436	19	90
YBR072W	125180	91655	1444	3269
YBR072C-A	2	0	0	3
YBR073W	30	58	9	16
YBR074W	169	235	155	488
YBR076W	286	148	3	16
YBR077C	707	646	69	202
YBR078W	3664	8463	570	2263
YBR079C	1090	1810	897	2637
YBR080C	212	500	117	357
YBR081C	530	761	77	316
YNCB0015W	0	0	0	0
YNCB0016W	0	0	0	0
YBR082C	1184	4420	711	2360
YBR083W	379	250	36	101
YBR084W	117	622	441	1525
YBR084C-A	2780	4201	2516	10336
YBR085W	2	6	8	16
YBR085C-A	15892	12835	377	1133
YBR086C	984	1030	108	408
YBR087W	78	402	27	142
YBR088C	41	449	9	76
YBR089C-A	1020	1203	18	69
YBR090C	39	32	1	4
YBR091C	30	58	26	125
YBR092C	75	220	19	77
YBR093C	179	173	17	36
YBR094W	245	264	30	105
YBR095C	315	477	84	320
YBR096W	51	169	50	280
YBR097W	292	285	11	59
YBR098W	122	164	20	65
YBR101C	6502	16370	194	944
YBR102C	237	321	48	182
YBR103W	467	578	55	195
YBR104W	235	218	122	568
YBR105C	237	278	1723	4517
YBR106W	285	1411	841	3150
YBR107C	57	74	32	142
YBR108W	601	573	51	155
YBR109C	2911	3302	274	1147
YBR110W	257	437	47	160
YBR111C	1339	1607	68	301
YBR111W-A	219	272	62	213
YBR112C	157	322	122	457
YBR114W	170	154	385	1094
YBR115C	671	701	181	604
YBR117C	2039	1127	61	190
YBR118W	8322	14263	3073	11181
YBR119W	511	550	125	454
YBR120C	359	509	35	131
YBR121C	1577	3612	1024	3125
YBR122C	283	937	92	397
YBR123C	328	384	44	162
YBR125C	450	398	36	162
YBR126C	6099	5617	99	265
YBR126W-A	906	1272	87	320
YBR127C	7130	6292	776	2701
YBR128C	312	263	4	36
YBR129C	733	434	64	241
YBR130C	90	241	72	344
YBR131W	22	43	48	156
YBR132C	640	550	8	39
YBR133C	139	178	66	291
YBR135W	206	303	76	336
YBR136W	150	159	23	62
YBR137W	732	1142	20	146
YBR138C	306	302	7	21
YBR139W	3297	2372	39	87
YBR140C	1693	1202	56	200
YBR141C	68	119	137	363
YBR142W	188	241	446	1267
YBR143C	1008	1993	1308	4190
YBR144C	5	0	0	2
YBR145W	526	1239	16	67
YBR146W	251	1043	85	365
YBR147W	416	358	7	24
YBR148W	37	35	1	10
YBR149W	7834	7452	104	350
YBR150C	593	412	43	101
YBR151W	1341	1691	81	312
YBR152W	96	95	66	156
YBR153W	100	167	83	285
YBR154C	251	556	593	2308
YBR155W	70	91	299	919
YBR156C	82	207	29	88
YBR157C	11	22	1	12
YBR158W	110	202	14	82
YBR159W	303	607	75	409
YBR160W	155	418	162	598
YBR161W	53	49	77	459
YBR162C	829	1707	247	1369
YBR162W-A	317	419	123	569
YBR163W	67	64	93	351
YBR164C	171	298	124	555
YBR165W	532	388	99	342
YBR166C	155	247	71	417
YBR167C	304	224	80	266
YBR168W	152	85	29	123
YBR169C	12254	13923	155	468
YBR170C	366	515	82	245
YBR171W	136	238	150	686
YBR172C	934	1156	336	1207
YBR173C	3022	2901	158	671
YBR175W	12	9	48	230
YBR176W	78	185	38	210
YBR177C	8423	9560	305	979
YBR179C	1263	844	110	291
YBR180W	45	34	17	32
YBR181C	688	2066	1883	7050
YBR182C	58	60	49	165
YBR182C-A	0	2	2	11
YBR183W	123	99	87	316
YBR184W	16	33	5	20
YBR185C	53	402	38	165
YBR186W	60	56	21	54
YBR187W	41	131	504	1905
YBR188C	206	261	38	137
YBR189W	649	2982	3725	14237
YBR191W	983	3273	2792	11043
YBR192W	76	109	105	459
YBR193C	546	478	52	231
YBR194W	56	82	14	88
YBR195C	18	18	132	452
YBR196C	15481	8655	1344	4144
YBR196C-A	7	2	0	9
YBR196C-B	9	10	3	8
YBR197C	182	90	40	94
YBR198C	366	473	242	740
YBR199W	1456	1647	172	565
YBR200W	383	390	103	315
YBR200W-A	13	7	1	0
YBR201W	124	269	2	25
YBR201C-A	184	64	5	7
YBR202W	272	431	39	135
YBR203W	581	492	44	51
YBR204C	1095	673	15	73
YBR205W	415	689	59	218
YBR207W	1019	1542	104	281
YBR208C	491	664	32	66
YBR209W	160	103	12	24
YNCB0017C	0	0	0	0
YNCB0018W	0	0	0	0
YBR210W	302	209	43	193
YBR211C	73	68	37	113
YBR212W	3591	1238	100	238
YBR213W	66	62	30	89
YBR214W	5286	4591	60	155
YBR215W	349	407	88	300
YBR216C	210	445	37	158
YBR217W	165	139	32	103
YBR218C	1084	1580	273	805
YBR219C	0	0	0	1
YBR220C	125	171	54	167
YBR221C	4934	5233	136	657
YBR221W-A	25	90	1	8
YBR222C	2413	6582	193	781
YBR223C	249	160	12	37
YBR225W	650	355	30	132
YBR227C	128	302	46	241
YBR228W	215	284	45	163
YBR229C	208	244	45	146
YBR230C	7360	7076	155	452
YBR230W-A	441	296	6	16
YNCB0019C	221	175	15	63
YBR231C	114	97	74	249
YBR233W	14	39	10	81
YBR233W-A	36	45	33	76
YBR234C	1403	2430	74	432
YBR235W	563	330	55	197
YBR236C	315	495	68	312
YBR237W	615	510	107	372
YBR238C	5	31	144	497
YBR239C	71	85	93	281
YBR240C	47	64	15	30
YBR241C	2404	1124	37	126
YBR242W	473	323	205	763
YBR243C	92	225	28	151
YBR244W	35	52	44	108
YBR245C	215	471	84	298
YBR246W	233	384	69	362
YBR247C	162	209	570	1782
YBR248C	68	121	187	508
YBR249C	490	1107	496	1525
YBR250W	23	17	2	9
YBR251W	178	335	56	175
YBR252W	9	111	31	151
YBR253W	204	321	75	265
YBR254C	28	69	36	143
YBR255W	520	598	27	146
YBR255C-A	647	454	28	84
YBR256C	847	939	123	536
YBR257W	180	175	98	330
YBR258C	46	78	11	51
YBR259W	101	111	48	191
YBR260C	272	324	54	210
YBR261C	63	198	115	479
YBR262C	413	960	56	230
YBR263W	1691	1826	258	957
YBR264C	220	241	36	146
YBR265W	781	861	179	601
YBR267W	94	101	372	1137
YBR266C	0	0	0	0
YBR268W	172	262	29	107
YBR269C	4460	2728	78	188
YBR270C	194	120	66	202
YBR271W	138	116	154	506
YBR272C	562	406	38	127
YBR273C	1512	1460	63	259
YBR274W	412	404	53	190
YBR275C	108	386	13	62
YBR276C	645	651	99	345
YBR278W	221	389	18	85
YBR279W	781	930	217	780
YBR280C	2800	1333	37	92
YBR281C	151	166	102	301
YBR282W	208	287	58	209
YBR283C	762	929	373	1575
YBR284W	61	51	7	32
YBR285W	181	212	7	11
YBR286W	9226	8860	301	1201
YBR287W	5215	3038	256	726
YBR288C	69	208	61	248
YBR289W	308	403	33	157
YBR290W	1654	1120	166	641
YBR291C	63	72	83	263
YBR292C	14	5	1	4
YBR293W	189	150	46	132
YBR294W	135	76	61	150
YBR295W	407	420	37	120
YBR296C	12958	2728	134	168
YBR296C-A	24	9	0	0
YBR297W	738	692	48	152
YBR298C	62108	27894	865	1155
YBR298C-A	3	2	0	0
YBR299W	11174	10155	172	420
YBR301W	19	25	1	2
YBR302C	60	58	3	13
YCL075W	0	0	0	0
YCL074W	1	0	0	0
YCL073C	0	1	0	0
YCL069W	0	0	0	0
YCL068C	0	0	0	0
YCL067C	0	0	0	0
YCL066W	0	0	0	0
YCL064C	3809	5365	50	207
YCL063W	82	188	36	182
YCL061C	112	382	5	27
YCL059C	288	418	476	1587
YCL058C	64	134	12	46
YCL058W-A	0	0	0	0
YCL057C-A	1131	2078	153	468
YCL057W	478	973	39	188
YCL056C	506	380	30	114
YCL055W	206	372	26	139
YCL054W-A	2	6	1	1
YCL054W	131	160	653	1873
YCL052C	1996	1949	83	299
YCL051W	528	574	80	311
YCL050C	993	1598	209	734
YCL049C	484	801	145	343
YCL048W-A	49	18	2	0
YCL048W	60	42	2	6
YCL047C	23	46	47	226
YCL045C	400	511	179	624
YCL044C	222	429	66	252
YCL043C	3498	5943	271	1172
YCL042W	9	12	1	4
YCL040W	16372	18200	211	706
YCL039W	595	397	28	109
YCL038C	640	289	16	71
