gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YER062C	16736.2998191841	7.90127147119608	0.40845185666825	19.3444376422889	2.27067673053989e-83	1.32993536107721e-79
YDR536W	10092.2023869729	7.87603322463604	0.411236224926553	19.1520900816622	9.29790630430664e-82	2.7228918612162e-78
YHR094C	8498.83562752299	7.88360863584181	0.431673146604985	18.2629118763691	1.63342991920346e-74	3.1889996789249e-71
YNL065W	2110.55372157609	7.78713361101756	0.466827643995337	16.6809607596746	1.80295752014334e-62	2.63998054886989e-59
YKL120W	1728.01315158896	7.27108824580599	0.482417760048998	15.072181930175	2.46824896943928e-51	2.89130684280117e-48
YJL122W	1292.22774237829	6.49662387207211	0.432686377795025	15.0146253856638	5.88936545414634e-51	5.74900224415586e-48
YLR264W	1389.14773530882	6.48538096200876	0.43224582101615	15.0039182490244	6.92101028854691e-51	5.79090818000275e-48
YGR159C	8024.97093258223	6.76862466425436	0.451887436208007	14.9785635136329	1.01384718002171e-50	7.42262866673393e-48
YNL112W	5331.38153040545	7.36500787052791	0.493794855809565	14.9151166397899	2.62817614464397e-50	1.71035863101997e-47
YOR271C	1052.80836788392	6.84565619652928	0.472880605850412	14.4765002240223	1.70563234586879e-47	9.98988864975349e-45
YJL108C	955.542211449698	5.99768859049236	0.427846763148903	14.0183100752009	1.20448750193069e-44	6.41334845346184e-42
YJL107C	845.878553570073	6.17353897978587	0.443106850109984	13.9323934582675	4.02633065683389e-44	1.96518488808967e-41
YOR360C	1923.9392243914	5.66044310828983	0.406928441804169	13.9101682919816	5.49500039435092e-44	2.4757090238241e-41
YOL124C	594.360525536296	7.80563109980373	0.562880614172916	13.8672942419116	9.99775513410143e-44	4.18263227288801e-41
YOL136C	1162.4667812795	5.71083839486721	0.416405677255428	13.7146026262368	8.30199778368045e-43	3.24165340126776e-40
YER127W	731.180138534669	5.98213351551048	0.441287287447688	13.5560975484018	7.29133165086726e-42	2.6690830924456e-39
YLR180W	1932.35565655286	6.7820368550231	0.504265253558802	13.4493439854512	3.10615719398335e-41	1.07016251089179e-38
YCR072C	701.314160077187	5.89637874227023	0.439055207335656	13.4296977777614	4.05061215652317e-41	1.3180241889309e-38
YNL141W	2902.03942257208	6.47417133224039	0.482536709910527	13.4169508749725	4.81103952890949e-41	1.48306623793805e-38
YML043C	522.398945525935	6.4156794450037	0.481821792553678	13.3154613264799	1.88206320051595e-40	5.51162208271096e-38
YMR300C	1597.37691932834	5.81652818863597	0.439648545403406	13.2299498075194	5.89267094289634e-40	1.64349398631161e-37
YEL026W	2039.18401771376	5.36924227740592	0.409781344475555	13.1027006226395	3.17746853601699e-39	8.45928782520524e-37
YOR359W	478.136489492579	6.35832178531595	0.486299387374883	13.0749121845271	4.58092657567555e-39	1.16654291103181e-36
YHR066W	1306.21356503264	5.58439910297066	0.428208444413451	13.0413100811686	7.12226098153766e-39	1.73812844036942e-36
YGR079W	1514.88526701155	5.32999313505481	0.409053872257513	13.0300517768951	8.25516170400906e-39	1.93401928401524e-36
YIR012W	1539.94907253575	5.33336779663536	0.41469464480017	12.8609516990637	7.46518432822147e-38	1.68167633116897e-35
YJL148W	1278.40078716393	5.22809307051147	0.407570528545082	12.8274561194951	1.15081020907786e-37	2.49640570169224e-35
YOL041C	1902.13958128702	5.69086135299772	0.444000893549938	12.8172295048718	1.31309050793647e-37	2.74670396606567e-35
YLR327C	14466.701545975	-5.02337786211811	0.392444383458328	-12.8002287046402	1.63469091613562e-37	3.30151196407115e-35
YOL151W	10488.4082808701	5.98276185630364	0.469533279752233	12.7419335631772	3.45718966335863e-37	6.74958661943049e-35
YBL028C	858.387488719869	5.39305004339946	0.424142111263199	12.7151959218047	4.8688767292245e-37	9.19903580744126e-35
YOL080C	383.167129685797	6.25363231679551	0.492042376929278	12.7095400925078	5.2341361024022e-37	9.58010473492803e-35
YDL063C	1079.37944096672	5.55327621650907	0.437233394780158	12.7009425236178	5.84218314809424e-37	1.03689899086024e-34
YML018C	802.662061470725	5.83951528380181	0.460900681621607	12.6697909477078	8.69457975805527e-37	1.49776922479205e-34
YHR196W	1196.40236987469	5.15981055720277	0.408007573409771	12.6463597576917	1.17179546920481e-36	1.96091601803788e-34
YNR060W	1991.32139935709	6.43413344339639	0.510738210438369	12.5977130982112	2.17355537445934e-36	3.53625384116898e-34
YPL212C	1385.88718774676	5.22877479417898	0.418789294383215	12.485454772381	8.96297365476092e-36	1.41881450529553e-33
YBL039C	2045.22493294415	6.18574128789844	0.496755809836366	12.4522776893864	1.35910335987562e-35	2.09480746810302e-33
YLR264C-A	400.393435797997	6.38465019412578	0.513629076715769	12.4304687634709	1.78584047761888e-35	2.68196607113174e-33
YJR063W	780.083673510792	5.28451280110369	0.425424720210217	12.4217342106788	1.99196123034258e-35	2.91672923152913e-33
YDR037W	4855.84456229645	5.21477996457619	0.423949519013515	12.3004738316732	9.0044362120607e-35	1.28631665595218e-32
YNL182C	617.931421600285	5.51384577784832	0.453198493174243	12.1665139246798	4.686746637705e-34	6.53577977548528e-32
YDR449C	840.026324279492	5.18079829903259	0.427131547520956	12.1292803800178	7.38959371549143e-34	1.00653140445659e-31
YMR093W	864.635065335975	5.18929817117066	0.42939019631575	12.0852739901745	1.26348269535505e-33	1.68186776061239e-31
YLR224W	721.810361705109	5.09872908645988	0.422180654916696	12.0771262896116	1.39510743248482e-33	1.81580982934747e-31
YJL069C	728.184855116329	5.18425703573964	0.430474429749532	12.0431242309934	2.10817446737965e-33	2.68425605553101e-31
YKR097W	21618.0447319077	-4.70615369007233	0.392775624230274	-11.9817865461866	4.42679718808794e-33	5.51654279375129e-31
YBR105C	2415.99805085994	4.92119340143837	0.415012838439074	11.8579305159516	1.95753700874893e-32	2.38860297088386e-30
YNL248C	1315.68802607934	5.28929525537099	0.44878078841028	11.7859217505885	4.61345158547198e-32	5.51448692573661e-30
YER049W	1370.70064400974	5.21685288055808	0.443419098613566	11.7650613085218	5.90834105387914e-32	6.92103071051403e-30
YKL078W	495.209733685122	6.07852153570638	0.517274636140875	11.7510527503439	6.97444862355902e-32	8.00967560552651e-30
YGR128C	841.351711835042	4.91143904338272	0.422215599646459	11.632538085981	2.81598153597853e-31	3.1717699723512e-29
YJL025W	239.47435804411	6.30686393082736	0.544290740940647	11.5873070336045	4.77923276880644e-31	5.28150308054704e-29
YPL068C	278.662185227842	6.29287568308791	0.544108229760101	11.5654852084529	6.16418548390647e-31	6.68585821837781e-29
YNL075W	802.966535077378	4.95734485447841	0.428828123568533	11.5602139459171	6.55452811361055e-31	6.97997657480309e-29
YKR092C	2181.2564075917	5.46605492663289	0.475211376120995	11.5023654762868	1.28348930950784e-30	1.31884155891007e-28
YLR413W	656.028780732799	5.39607906241691	0.469119157988045	11.5025766279927	1.28035263517244e-30	1.31884155891007e-28
YIL053W	34481.9492051704	5.21956550205554	0.45628944587291	11.4391545745052	2.66469433748287e-30	2.69088185079951e-28
YKL029C	5051.60266497697	5.54900358752174	0.485980198945441	11.4181680643838	3.3931078778624e-30	3.36837844756611e-28
YGL035C	650.155171143451	5.33247503119457	0.467263078509482	11.4121471959749	3.63640328724069e-30	3.54973567556145e-28
YOR226C	580.72165421783	6.33705707055155	0.556753582538664	11.3821576893247	5.13141958711739e-30	4.92700401995845e-28
YHR085W	378.100157427292	5.59867362784335	0.493153297636845	11.3528058205669	7.18203498911508e-30	6.78470627923339e-28
YGL120C	1323.75793061829	5.14013878869101	0.452824570304004	11.3512806631499	7.30843209397011e-30	6.79452171021951e-28
YOR004W	600.201601286981	4.87366709132845	0.43078795368884	11.3133783096653	1.12666290645396e-29	1.03107260048451e-27
YLR435W	394.491694489936	5.34721446431171	0.47602532302395	11.2330462386823	2.80633273370881e-29	2.52872166482039e-27
YPL081W	1679.54662996753	4.75898545245917	0.423860507368644	11.227716122937	2.98084005096011e-29	2.64526972401111e-27
YER073W	875.869552935891	6.17858251728078	0.551758014243784	11.1979932466389	4.17074073864043e-29	3.64597440391299e-27
YNL110C	1231.8024384397	4.65027746962856	0.415484843084659	11.1924118220626	4.4418445663528e-29	3.82586523898946e-27
YGR208W	416.371111065559	6.124546330565	0.547487563723593	11.186640092627	4.74058495447253e-29	4.02400088091966e-27
YMR081C	2809.38940289825	-4.79163661134142	0.428518850346651	-11.1818572449385	5.00318223151379e-29	4.18623404713947e-27
YNL299W	235.020433046714	5.85178696440059	0.524627681517033	11.1541711780807	6.83265516886044e-29	5.63645934141065e-27
YPR137W	907.714663419654	4.62218687338441	0.416022271015237	11.1104313288437	1.11619049001601e-28	9.07989958336635e-27
YNR053C	1315.55990839038	4.54074108460894	0.409358975139559	11.0923208244327	1.36694589060912e-28	1.09674001113666e-26
YFL034C-A	1135.25058826607	5.38540179650114	0.485690817998831	11.0881276666715	1.43254734108175e-28	1.13384186171836e-26
YIL079C	351.109070008059	5.18648512804232	0.468167085242905	11.0782780155323	1.59918589756502e-28	1.24885757360511e-26
YNL113W	1030.984848842	4.60331120689048	0.416304798467825	11.0575501983945	2.0152671595215e-28	1.55308154648914e-26
YKR081C	1338.8766610927	4.54201385126435	0.410960468636316	11.0521916288835	2.13927538086462e-28	1.62723842931482e-26
YHR052W	1668.49887529732	4.50852030378162	0.408378926722225	11.0400415123483	2.44919985332326e-28	1.83909788986081e-26
YDR342C	2153.2012354727	-4.50525056476828	0.409656525824868	-10.9976291862962	3.92310706081457e-28	2.90856177913809e-26
